location,subject,time,value_new
OECD,EMPLOYEE,2010,13
MLT,EMPLOYEE,2010,7
IRL,SELFEMPLOYED,2010,21
FIN,SELFEMPLOYED,2010,33
FIN,EMPLOYEE,2010,18
BEL,EMPLOYEE,2010,7
NZL,SELFEMPLOYED,2010,34
ISL,EMPLOYEE,2010,16
HUN,EMPLOYEE,2010,6
SVN,SELFEMPLOYED,2010,32
DNK,EMPLOYEE,2010,8
NLD,EMPLOYEE,2010,17
GRC,EMPLOYEE,2010,9
DNK,SELFEMPLOYED,2010,17
GRC,SELFEMPLOYED,2010,4
LVA,SELFEMPLOYED,2010,19
COL,EMPLOYEE,2010,6
LVA,EMPLOYEE,2010,19
ISR,EMPLOYEE,2010,20
ISL,SELFEMPLOYED,2010,11
EU27,EMPLOYEE,2011,12
HUN,SELFEMPLOYED,2011,32
USA,SELFEMPLOYED,2011,4
OECD,EMPLOYEE,2011,13
CHE,SELFEMPLOYED,2011,4
ESP,SELFEMPLOYED,2011,23
AUT,SELFEMPLOYED,2011,4
BEL,SELFEMPLOYED,2011,32
FIN,EMPLOYEE,2011,18
JPN,EMPLOYEE,2011,27
LVA,SELFEMPLOYED,2011,22
EST,SELFEMPLOYED,2011,-2
IRL,SELFEMPLOYED,2011,23
CAN,EMPLOYEE,2011,19
DEU,EMPLOYEE,2011,16
ISL,SELFEMPLOYED,2011,17
SVK,SELFEMPLOYED,2011,32
ISR,EMPLOYEE,2011,19
SVK,EMPLOYEE,2011,15
LTU,SELFEMPLOYED,2011,7
SWE,SELFEMPLOYED,2011,17
ITA,SELFEMPLOYED,2011,5
SWE,EMPLOYEE,2011,9
GRC,SELFEMPLOYED,2011,4
HUN,EMPLOYEE,2011,6
GBR,EMPLOYEE,2011,18
FRA,SELFEMPLOYED,2011,30
CAN,SELFEMPLOYED,2011,4
AUT,EMPLOYEE,2011,18
PRT,SELFEMPLOYED,2011,5
CHL,EMPLOYEE,2011,16
AUS,EMPLOYEE,2011,15
FIN,SELFEMPLOYED,2011,34
CRI,EMPLOYEE,2011,4
DNK,EMPLOYEE,2011,7
NOR,SELFEMPLOYED,2011,25
NLD,SELFEMPLOYED,2011,27
MEX,EMPLOYEE,2011,10
GBR,SELFEMPLOYED,2011,39
NOR,EMPLOYEE,2011,7
COL,EMPLOYEE,2011,35
USA,EMPLOYEE,2011,17
CZE,EMPLOYEE,2011,16
DNK,SELFEMPLOYED,2011,22
LUX,SELFEMPLOYED,2011,22
CZE,SELFEMPLOYED,2011,31
POL,SELFEMPLOYED,2011,6
NZL,EMPLOYEE,2011,4
NZL,SELFEMPLOYED,2011,31
SVN,SELFEMPLOYED,2011,33
BEL,EMPLOYEE,2011,5
KOR,EMPLOYEE,2011,36
AUT,SELFEMPLOYED,2012,4
DEU,EMPLOYEE,2012,16
EU27,EMPLOYEE,2012,12
SVN,SELFEMPLOYED,2012,31
ISL,SELFEMPLOYED,2012,24
DNK,EMPLOYEE,2012,6
SVK,SELFEMPLOYED,2012,32
IRL,SELFEMPLOYED,2012,29
USA,SELFEMPLOYED,2012,4
HUN,SELFEMPLOYED,2012,25
NOR,SELFEMPLOYED,2012,18
NLD,SELFEMPLOYED,2012,26
SWE,SELFEMPLOYED,2012,12
NZL,EMPLOYEE,2012,5
ISR,EMPLOYEE,2012,20
LVA,SELFEMPLOYED,2012,20
COL,EMPLOYEE,2012,8
SVK,EMPLOYEE,2012,15
AUS,EMPLOYEE,2012,13
NZL,SELFEMPLOYED,2012,32
GRC,SELFEMPLOYED,2012,39
HUN,EMPLOYEE,2012,11
ESP,SELFEMPLOYED,2012,23
DNK,SELFEMPLOYED,2012,23
CAN,EMPLOYEE,2012,19
BRA,EMPLOYEE,2012,15
FIN,EMPLOYEE,2012,18
USA,EMPLOYEE,2012,19
EST,SELFEMPLOYED,2012,-2
JPN,EMPLOYEE,2012,26
LUX,SELFEMPLOYED,2012,16
CZE,EMPLOYEE,2012,15
CRI,EMPLOYEE,2012,5
CAN,SELFEMPLOYED,2012,4
NOR,EMPLOYEE,2012,5
FRA,SELFEMPLOYED,2012,30
PRT,SELFEMPLOYED,2012,5
CZE,SELFEMPLOYED,2012,31
KOR,EMPLOYEE,2012,36
POL,EMPLOYEE,2012,10
BEL,EMPLOYEE,2012,6
GBR,SELFEMPLOYED,2012,36
MEX,EMPLOYEE,2012,13
FIN,SELFEMPLOYED,2012,34
BEL,SELFEMPLOYED,2012,34
AUT,EMPLOYEE,2012,18
LTU,SELFEMPLOYED,2012,5
